85,BUR7,Bushenyi,1,1,0,0,1645,824,2.9,1.5,1.93,5096.44,0.03,30,6.19,44.5,1.85,166.16,6.92,21434.36,893.1,509.88,61.9,8,1,1,6,4,4,0,7,1,0,1,40,40,35,3,0,0,365,9,10.9223301,15,18.2038835,6,0,1,0,0,1,0,0,0,0,0,0,0,2,152.2183855,0,0,3.021544673,1.848332512,5.521818395,0.581592575,0.230075766,24,2,Cluster2,0,1,0,0,6,1,4,1,,5,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,5,,,,,,,,3,,,,,,,,1,1,,2,,4944,,,,,2,,,,18,,,,,,,,,8,,,,,,,,5,49.44,,,5055.44,,,,,,,,,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,3,,,,4,,,,,,,,2,,,,,,41,5096.44
86,BUR8,Bushenyi,1,1,0,0,1646,1503,2.8,1.5,1.87,15432.18,0.02,20,10.27,92,3.68,373.06,14.92,68553.99,2742.16,1250.02,83.2,6,0,2,7,2,8,1,12,1,0,1,30,30,50,7,0,0,365,6,3.992015968,18,11.9760479,5,0,1,0,0,1,0,0,0,0,0,0,0,2,466.9666533,72,35081.48148,3.485423323,2.102403854,5.713453931,0.690552918,0.272069235,21,2,Cluster2,0,1,0,0,5,3,0,2,,3,,,,,,,2,,,,10,,,,,,,,,,,4,,5,,,,,,,,3,,,,,,,,4,,,,,,,,,,,,,,,60,,,,,3,,6,15,,,,,,,,10,,15030,10,,,,,,,,110,,,,,,,,4,11,,,,,,,,10,90.18,,,15390.18,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,32,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,15432.18
87,BUR9,Bushenyi,1,1,0,0,1665,2654,2.6,1.5,1.73,1524.93,0.01,10,0.57,50,2.08,296.35,12.35,52490.33,2187.1,2084.33,78.5,7,0,3,6,3,5,0,5,1,0,1,20,84,52,4,0,0,365,10,3.767897513,14,5.275056518,5,0,1,0,0,1,0,0,0,0,0,0,0,2,1909.504979,0,0,4.818336449,2.241751302,5.44506146,0.672753216,0.194466481,28,2,Cluster2,0,1,0,0,9,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,1,,,,,,,,,,,,,3,,,,1,,,,,,,,3,,,,,,,,23,,1,35,,,,,,,,1,,20,,,,,1,,,,40,,,,,,,,,,,,,,,,,90,398.1,,,621.1,,,,,,,,,,5.333333333,5.333333333,5.333333333,5.333333333,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,663.5,,,,3,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,903.8333333,1524.933333
90,FJ1,Bushenyi,1,1,0,0,1564,2532,2.8,1.5,1.87,7415.56,0.02,20,2.93,114.5,2.6,459.96,10.45,79000.55,1795.47,2515.66,99.4,10,2,3,10,8,11,2,6,1,0,1,49,60,67,0,0,0,365,23,9.083728278,21,8.293838863,6,1,1,0,0,1,0,0,0,0,0,0,0,2,2270.84661,1822.5,249250,2.34256067,0.358059269,1.133499403,0.111237366,0.045339976,25,4,Cluster4,0,0,0,1,11,3,6,2,,,,,,,,,,,,,,,,,,4,,,2,,,2,,,,,,2,,,1,1,,,,,,,3,3,,,,2,,,,,,,,8,,,,,,,,,,1,101.28,,,,,,2,,2,,5064,,,,,1,,,2,6,,,,2,,,,,,,,,,,,,75.96,151.92,,,5437.16,,,,,,2,,,,253.2,253.2,253.2,253.2,,,,,,,,,,,,,,,4,,,,,,50,,,,,,5,,,,,,,,,,,,70,,,,,,,,,2,1,,,,,8,,,,,2,,,,,3,,,,,8,,,,,,26,759.6,,,,3,1,,,,,,,,,,,,6,,,,,,6,,,,,,7,,,,,2,,,,,,1978.4,7415.56
99,FJ10,Bushenyi,1,1,0,0,1634,2643,3,1.5,2,28147.08,0.01,10,10.65,65.6,2.62,198.62,7.94,24692.67,987.71,1998.38,75.6,11,1,0,5,3,5,0,10,1,0,1,30,30,48,5,0,0,365,7,2.648505486,18,6.810442679,5,0,1,0,0,1,0,0,0,0,1,0,0,3,805.7199865,0,0,1.938723621,0.944868141,1.699053144,0.340789145,0.106190822,16,2,Cluster2,0,1,0,0,6,0,4,2,,,,,,,,,1,,,,,,,3,,,,,,,1,,,1,,,,,,,,1,,,,,,,1,,,,,1,,,,,,,,11,,,,170,,,1,,,1,264.3,,,,,,1,,2,,26430,2,,,,,,,,,,,,,,,,,,,,,,,,,11,158.58,,,27060.88,,,,,,,,,,264.3,264.3,264.3,264.3,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1086.2,28147.08
100,FJ11,Bushenyi,1,1,0,0,1626,649,3.2,1.5,2.13,181.8,0.02,20,0.28,53,3.79,206.58,14.76,21240.24,1517.16,425.9,65.6,3,1,1,1,2,6,1,8,1,0,1,25,25,50,5,0,1,365,3,4.622496148,11,16.94915254,6,0,0,0,1,1,0,0,0,0,0,0,0,2,423.5465328,360,30000,2.463579158,2.362537383,8.171633413,0.817381839,0.453979634,18,2,Cluster2,0,1,0,0,1,1,0,0,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,1,,,,,,,5,,3,,20,1,,,,6,,,,3,,,,,,,,,,,,,,,,,,3,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,135.8,181.8
101,FJ12,Bushenyi,1,1,0,0,1627,1810,3.1,1.5,2.07,1471,0.02,20,0.81,82.6,2.75,338.36,11.28,60570.13,2019,1531.73,84.6,9,0,0,7,8,6,0,9,1,0,1,36,36,48,0,0,0,365,16,8.839779006,13,7.182320442,4,0,1,0,0,0,0,0,0,0,0,0,0,1,1484.921987,0,0,2.030524188,1.216675329,2.054354542,0.449280936,0.136956969,15,2,Cluster2,0,1,0,0,6,0,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,2,8,,,,5,20,,,5,,,20,,,,1,,,,3,,30,,,,,,,,,,,,,,,,,10,,,,,,,,,19,30,,,155,,,,,,,,,,181,181,181,181,,,,,,,,,,,,,,,,,,,,5,7,,,,,,1,,,,,,,,,,,,10,,5,,,,,,,,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,543,,,,,,,,,2,,,6,,,,,,,,,,,7,,,,,,,,,,,3,,,,,,1316,1471
91,FJ2,Bushenyi,1,1,0,0,1619,2010,2.8,1.5,1.87,2336,0.01,10,1.16,45.5,2.84,254.01,15.88,48449.48,3028.09,1642.5,81.7,1,0,1,6,4,4,2,8,1,0,1,34,34,44,6,0,1,365,5,2.487562189,11,5.472636816,5,1,1,0,0,0,0,0,0,0,0,0,0,1,1585.228677,1327.5,344000,2.498603097,1.195625585,1.903430308,0.453050251,0.135959308,14,4,Cluster4,0,0,0,1,3,1,0,2,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,14,,,,,1,42,,,,,47,,,,,2010,,,,,1,,,,5,,,,,,,,,,,,,,,,,10,,,,2138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,4,2,,,,,,,,,,,,,,,,,198,2336
92,FJ3,Bushenyi,1,1,0,0,1631,2623,2.7,1.5,1.8,2089.95,0.01,10,0.8,92.5,2.64,440.22,12.58,81571.62,2330.62,2318.4,88.4,13,1,1,8,3,9,11,10,1,0,1,21,30,38,7,2,2,365,15,5.718642775,19,7.243614182,6,1,1,0,1,1,1,0,1,0,0,1,0,6,2403.803043,9744,1752191.065,2.829885687,1.448275671,2.684508732,0.46853956,0.122023124,22,1,Cluster1,1,0,0,0,6,1,4,1,,,,,,,,,2,,,,25,,,,,,,,,,,,,5,,5,,,,,,2,,,,,,,4,2,,,,,,,,,,20,,10,,,,,,,2,,,4,,,,,,,1,,5,,524.6,10,4,,,1,,3,,,,,,,,6,,,,,,,,,,,131.15,,,,766.75,,,,,,,,,,262.3,262.3,262.3,262.3,,,,,,,,,,,,,,,,,,,,,62,,,,,,,,,,,,,,,,,,12,,3,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,2,8,150,,,,,,,,,,,,3,,,,,,,,,,20,3,,,8,,,,,,,,,,,,,,1323.2,2089.95
93,FJ4,Bushenyi,1,1,0,0,1613,2747,2.8,1.5,1.87,2551.25,0.01,10,0.93,23.5,1.68,121.59,8.69,15889.93,1135,2387.32,86.9,3,0,0,5,2,4,1,5,1,0,1,20,20,35,4,1,1,182.5,5,1.820167455,8,2.912267929,4,0,1,0,0,1,0,0,0,0,1,0,0,3,1400.678671,607.5,296000,3.976035354,2.054739506,5.039372408,0.604122394,0.16797908,30,4,Cluster4,0,0,0,1,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,3,,,1,,,,,,,,2,,,,,,,,7,,,,,,,,,,,,,549.4,,,,,1,,,,,,,,,,,,1510.85,,,,,,,,,20,,,,2095.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,16,,,,100,,,,,,,,,,,,,,456,2551.25
94,FJ5,Bushenyi,1,1,0,0,1619,1346,2.8,1.5,1.87,3460.2,0.01,10,2.57,49,2.45,166.16,8.31,20988.74,1049.44,1289.15,95.8,4,1,0,6,5,4,1,8,1,0,1,13,13,28,6,0,0,52.14,9,6.686478455,10,7.429420505,5,0,0,0,1,1,0,0,0,0,0,0,0,2,844.4883647,36,17540.74074,2.294004734,2.131549071,7.162050847,0.807693356,0.511575061,14,2,Cluster2,0,1,0,0,2,0,0,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,5,,,,,,,,,,,300,,,,,20,,,,,,41,,,,,,2,,1,,2692,,,,,2,,,,,,,,,,,,,,,,,,,,,20,,,,3085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,24,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,269.2,,,,,,3,,,,,,,,,,,,,,,,,4,,,50,,,,,,,,,,,,,,375.2,3460.2
95,FJ6,Bushenyi,1,1,0,0,1624,1121,2.8,1.5,1.87,13763.15,0.02,20,12.28,62.5,2.84,157.56,7.16,23689.55,1076.8,1240.9,110.7,2,0,0,9,8,3,2,4,1,0,1,4,4,24,6,1,1,365,10,8.920606601,11,9.812667261,4,1,1,0,0,0,0,0,0,0,0,0,0,1,551.2827167,303.75,148000,1.933937883,0.668867197,1.343269004,0.241242847,0.083954313,16,4,Cluster4,0,0,0,1,3,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,2,,,,,2,1,,,,,,,,7,,,,,,,,,,,30,,,,,,,,1,,13452,,,,,,,,,,,,,,,4,,,3,,,,,,,,15,,,,13520,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,35,,,,,,3,,,,,,,,,,,,10,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.15,,,,,,,,,,,,,,,,,1,,,,,,2,2,,,,,,,,,,1,,,,,,243.15,13763.15
96,FJ7,Bushenyi,1,1,0,0,1630,3973,2.9,1.5,1.93,26353.5,0.01,10,6.63,169.6,3.14,664.57,12.31,108512.36,2009.49,2803.27,70.6,11,2,2,14,9,16,0,12,1,0,1,28,28,62,0,0,1,365,27,6.795872137,25,6.292474201,6,0,1,0,0,1,0,0,0,0,0,0,0,2,715.855599,0,0,2.110390101,1.443228651,2.73752479,0.532940139,0.182501653,15,2,Cluster2,0,1,0,0,11,2,7,2,,,,,,,,,1,,,,,,,,,,,,,,,7,,3,,11,2,,,,,3,,,,,,,4,,,,,2,1,4,,,,,,,,,,50,20,,,,,2,10,,,,5,,3,,5,,23838,,,,,3,,2,2,100,,,,2,,,,4,,,1,,6,,,,9,,,,24100,,,,,,3,,,,397.3,397.3,397.3,397.3,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,70,,2,,,20,,,,,4,,,,,2,,,,8,,,,5,,,,,,,2,,,,,9,12,25,,,,8,,30,,,,,,17,,2,,,1,,,,,,6,,,397.3,,,,,,,30,6,,,,,,2253.5,26353.5
97,FJ8,Bushenyi,1,1,0,0,1634,3859,3,1.5,2,48503.78,0.01,10,12.57,70.1,2.42,328.81,11.34,50294.11,1734.28,4815.18,124.8,9,0,2,8,2,8,1,5,1,0,1,20,20,39,7,0,0,365,9,2.332210417,20,5.182689816,5,0,1,0,0,0,0,0,0,0,0,0,0,1,2886.635182,911.25,444000,4.447412048,2.304921925,7.327721577,0.648297125,0.209363474,35,4,Cluster4,0,0,0,1,4,1,1,2,,,,,,1,,,2,,,,,,,,,,,,,,,,,8,,,,,,,1,2,,,,,,,2,,,,,1,,,,,,,,13,,,,65,,,,56,,2,192.95,,,,,,,,2,2,46308,,,,,3,,,,10,,,,,,,,,3,,,,,,,,77.18,578.85,,,47329.98,,,,,,1,,,20,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,771.8,,,,306,,,,,,,,8,,,,,,,,,,7,4,,,6,,,,,,,,,,,,,,1173.8,48503.78
98,FJ9,Bushenyi,1,1,0,0,1643,504,3.1,1.5,2.07,1118.4,0.1,100,2.22,128.5,2.73,526.17,11.2,93575.3,1990.96,581.47,115.4,8,2,2,13,12,10,0,9,1,0,1,22,24,42,5,0,0,365,32,63.49206349,13,25.79365079,6,0,1,0,1,1,1,0,1,0,0,1,0,6,358.7333053,0,0,3.218902298,2.271982509,6.801868589,0.758406393,0.340093429,20,2,Cluster2,0,1,0,0,8,3,5,0,,,,,,,,,2,,,,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,,3,,,,,,,,,,,,4,,3,,,,,,,,2,,,,,,3,,,1,,,11,,,,4,2,2,,15,,,,,1,,,,,,,,,,,,,,,,57,,40,,,,,,,,201.6,201.6,201.6,201.6,2,,,,,,,,,2,,,,,,,,,,,,,,,,2,2,,,2,1,,2,1,,,1,,,,,,,,3,,,,,,,1,,,1,,2,9,2,,,,,2,,,,3,,,,,,,,90,,2,,,,,,,,3,,9,,4,,1,1,,,,,3,,,,60,,,,2,,,,,,2,,,,1061.4,1118.4
68,IBUH1,Bushenyi,1,1,0,0,1631,1667,2.4,0.7,3.43,13584,0.01,10,8.15,39.1,2.44,165.84,10.36,23307.04,1456.69,1094.63,65.7,4,1,0,4,3,4,1,10,1,0,1,1,1,58,7,0,0,182.5,4,2.399520096,12,7.198560288,5,0,0,1,0,1,0,0,1,0,0,0,0,3,361.9275037,1440,1315555.556,1.994501827,1.209086455,2.09339452,0.446478597,0.139559635,15,3,Cluster3,0,0,1,0,1,0,0,1,,,,,,,,,,,,,15,,,,,,,,,,12,,,,,,,,,,1,,,,,,,,,,,,,,1,9,,,,,,,,,,40,,,,8,,,10,,,,,,1,,1,,13336,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,13447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,137,13584
77,IBUH10,Bushenyi,1,1,0,0,1650,2597,2.8,0.7,4,5127.09,0.01,10,1.97,99.1,3.1,397,12.41,69688.96,2177.78,4983.82,191.9,7,0,3,7,6,9,1,8,0,1,2,50,50,78,11,0,0,365,15,5.775895264,17,6.546014632,5,0,1,0,0,1,0,0,0,0,0,0,0,2,3261.92103,303.75,148000,1.657246133,1.201356644,2.422974043,0.455221882,0.173069575,14,4,Cluster4,0,0,0,1,4,2,0,2,,,,,,,,,,,,,10,,,,,,,,,,,,,4,,,,,,,,1,,,,,,,,2,,,,,1,10,,,,,,,,,,800,,,,,,,51.94,,,,,,,,1,,1500,100,2,,,1,,,,2,,,,,,,,,80,,,,,,,,7,1558.2,,,4131.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,2,,1,,,,,,,,,1,,,32,,,,,1,,,,,,,,,,,,,13,,,8,,,,3,,,,,,,908.95,,,,,,1,,,,,,,,3,,,,,,,,,5,,,,,,,,,,,3,,,4,,,995.95,5127.09
78,IBUH11,Bushenyi,1,1,0,0,1622,1828,2.2,0.7,3.14,505,0.01,10,0.28,17,1.7,46.47,4.65,3192.01,319.2,965.08,52.8,4,1,0,3,1,1,0,11,1,0,1,25,25,45,5,0,0,365,3,1.641137856,7,3.829321663,5,0,0,0,1,1,0,0,0,0,0,0,0,2,1174.057659,0,0,2.681527393,2.099460222,6.31437371,0.818519171,0.485721055,13,2,Cluster2,0,1,0,0,2,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,7,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,5,19,,,46,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459,505
69,IBUH2,Bushenyi,1,1,0,0,1630,927,2.4,0.7,3.43,2409.02,0.04,40,2.6,68.6,1.96,282.66,8.08,56410.7,1611.73,1086.57,117.2,9,0,2,15,4,5,2,4,1,0,1,2,21,23,14,1,0,182.5,14,15.10248112,19,20.49622438,5,1,0,0,0,1,1,0,1,0,1,0,0,4,1234.746975,192,17846.91358,2.647496536,2.092318123,5.819566379,0.772629001,0.387971092,15,2,Cluster2,0,1,0,0,7,1,4,2,,,,,1,,,,1,,,,,,,,,2,,,,,,,,3,,,,,,,,,,,,,,,3,,,,,2,,,,,,,,,,,,18.54,,,,10,,1,10,,,,,3,,,1,,1854,,,,,,,,,2,,,,,2,1,,3,10,,,,3,,,1,46.35,,,,1977.89,,,,,,,,,,3.333333333,3.333333333,3.333333333,3.333333333,,,,,,,,,,1,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,6,10,,,,,,,,,,,,,,,4,,,,,,,,,,3,,,,,,,,,,,370.8,,3,,,,,,,,,,,,,,,,,,,,,8,,,,,,,2,,,,,,,,,,431.1333333,2409.023333
70,IBUH3,Bushenyi,1,1,0,0,1626,2502,2.3,0.7,3.29,1311.94,0.01,10,0.52,132,4.13,674.18,21.07,116928.24,3654.01,2775.81,110.9,1,1,1,8,5,16,2,6,1,0,1,58,58,76,0,0,1,365,17,6.794564349,15,5.995203837,6,1,1,0,0,1,0,0,0,0,0,0,0,2,2999.134378,2364,167693.8272,2.331551059,0.894735062,1.614637323,0.298669901,0.080731866,20,4,Cluster4,0,0,0,1,4,2,1,1,,,,,,,,,2,,,,,2,,,,,6,,,,,6,,5,,,,,,,,,,,,,,,3,,,,,2,,,,,,,,,,,,,,,,5,,3,1,,,,,,10,,3,,,,,,,4,,,,13,,,,,,,,,,,,,,,,,125.1,,,,190.1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,25.02,,,,,,,,,,,,,,,,,,12,,2,,,34,3,,,,,,,,,3,,,,,,,,,,,,,,,,,2,,,2,,1000.8,,,,,5,,,,,,,3,,,1,,,1,,,,12.51,12.51,,,,2,,,,,,,,,,,,,1121.84,1311.94
71,IBUH4,Bushenyi,1,1,0,0,1644,958,2.4,0.7,3.43,459.04,0.02,20,0.48,57,2.59,283.55,12.89,57827.07,2628.5,882.13,92.1,6,1,0,8,2,5,2,7,0,1,2,28,28,50,4,0,0,365,10,10.43841336,11,11.4822547,5,1,1,0,0,1,0,0,0,0,0,0,0,2,1018.198499,1044,130162.963,2.212631294,1.691552977,3.647558899,0.659487866,0.280581454,13,2,Cluster2,0,1,0,0,6,0,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,1,9.58,,,,,,1,,3,,,10,,,,,,,,,,,,,,1,,3,20,,,,,,,,9.58,,,,66.16,,,,,,,,,,5,5,5,5,,,,,,,,,,,,,,,,,,,,,9.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,335.3,,,,,,,,,,,,3,,,,,,,,,,3,20,,,,,,,,,,,,,,,,,392.88,459.04
72,IBUH5,Bushenyi,1,1,0,0,1634,2357,2.3,0.7,3.29,14478.18,0.01,10,6.14,55.6,1.99,254.97,9.11,28926.69,1033.1,1247.95,52.9,10,1,2,7,2,6,2,6,0,1,2,20,30,44,2,0,0,365,12,5.09121765,15,6.364022062,6,1,0,0,0,1,0,0,0,1,0,0,0,2,442.0605155,663.75,172000,2.203625486,0.147373173,1.046615146,0.047677499,0.047573416,22,4,Cluster4,0,0,0,1,6,1,4,1,,,,,,,,,,,,,3,,,,,,4,,,,,,,3,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,5,,,,,,1,,,,,3,,5,,1,,14142,5,,,,3,,,,10,,,,,,,,5,,,,,,,,,117.85,,,,14309.85,,,,,,,,,,8.333333333,8.333333333,8.333333333,8.333333333,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,3,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,8,,,,,,,,6,,,,,,,,,,,21,,,,,,,3,,,,,,,,,,168.3333333,14478.18333
73,IBUH6,Bushenyi,1,1,0,0,1661,5152,2.5,0.7,3.57,26783.36,0.01,10,5.2,79,1.98,244.78,6.12,32633.18,815.83,6816.88,132.3,12,1,2,11,7,7,2,9,1,0,1,30,40,44,11,1,0,365,18,3.49378882,22,4.270186335,6,1,0,0,0,1,0,0,0,0,0,0,0,1,5175.347441,1260,84000,3.275515741,1.163574488,1.761353114,0.382186209,0.083873958,21,2,Cluster2,0,1,0,0,9,3,4,2,,,,,,,,1030.4,,,,,50,,,,,25,,,,,,2,,,,,,,,,1,,,,,,,,2,,3,,,2,,,,,,,,10,,,200,,,,2,206.08,,,51.52,,,,,,1,,4,,20608,,,,,3,,,,20,,,,,,,,,11,,,,200,,,,154.56,,,3,22589.56,,,,,,,,,,515.2,515.2,515.2,515.2,1,,,,,,,,,,,,,,,,,,,,125,,,,,,,2,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,2,,,,,,,1932,,,,10,,,,,,,,10,,,,,,,,,,,3,,,10,,,6,,,,,,3,,,,,4193.8,26783.36
74,IBUH7,Bushenyi,1,1,0,0,1659,1775,2.8,0.7,4,8858.13,0.01,10,4.99,51.5,2.34,267.06,12.14,52390.88,2381.4,1779.18,100.2,7,0,1,6,3,5,1,7,1,0,1,64,70,77,2,0,1,365,9,5.070422535,12,6.76056338,5,0,1,1,0,1,0,0,0,0,0,0,0,3,1104.294755,60,29234.5679,2.180369135,1.282028716,2.330072649,0.4857904,0.166433761,14,2,Cluster2,0,1,0,0,7,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,3,,,,,,,,,,,355,,,,,,,1,8,,,,,,,,5,,7100,,,,,6,,,,8,,,,,,,,4,,200,,,,,,,35.5,26.625,,,7753.125,,,,,,,,,,177.5,177.5,177.5,177.5,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,,,,,,,,,,,,,,,,,,,,,,10,7,,,,,,,,,,,3,,,,,,1105,8858.125
75,IBUH8,Bushenyi,1,1,0,0,1682,4953,2.8,0.7,4,21197.15,0.01,10,4.28,100.6,2.34,520.44,12.1,104036.2,2419.45,5220.8,105.4,14,1,0,13,5,10,1,6,0,1,2,45,45,56,2,0,0,365,18,3.634161114,22,4.441752473,5,0,1,0,1,1,0,0,0,0,0,0,0,3,4054.39246,288,140325.9259,5.206616024,0.547283543,1.220442819,0.137198729,0.022600793,54,4,Cluster4,0,0,0,1,7,1,4,2,,,,,,,,,1,,,,3,,2,,,,,,,,,4,,3,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,100,,,,5,,1,742.95,,,,,2,,,4,,19812,,1,,1,7,,,,,,,,1,,10,,5,200,,,,30,,,1,49.53,8,,,20996.48,,,,,,4,,,,6.666666667,6.666666667,6.666666667,6.666666667,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,120,,1,,,,1,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,8,,,,1,,,,2,,,,,,16,,,,2,,,,2,,,,,,200.6666667,21197.14667
76,IBUH9,Bushenyi,1,1,0,0,1650,1784,2.8,0.7,4,1877.64,0.02,20,1.05,50.1,1.86,145.28,5.38,11549.31,427.75,1708.05,95.7,8,1,1,9,3,5,0,7,1,0,1,2,2,42,4,1,1,52.14,10,5.605381166,16,8.968609865,6,0,0,1,1,1,0,0,1,0,0,0,0,4,1189.669881,0,0,3.723269919,2.136196786,5.428423762,0.691092671,0.246746535,22,2,Cluster2,0,1,0,0,7,1,4,2,,,,,,16,,,,,,,,,,,,,,,,,,,,4,,,,,,,,2,,,,,,,,,,,,5,,,,,,,,,,,120,100,,,,2,,,50,,,,,,18,,6,,200,,,,,6,,,,20,,,,,,,,8,17.84,,,,,,,,5,20,,,599.84,,,,,,,,,,178.4,178.4,178.4,178.4,,,,,,,,,,,,,,,,,,,,,267.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,267.6,,,,,,,,,,,,,,,,,,,,,,8,4,,,,,,,,,,,7,,,,,,1277.8,1877.64
